c_customer_id:integer,c_name:string,c_age:integer
314,Jane Taylor,66
315,Alex Wilson,41
316,Sara Smith,57
317,John Brown,31
318,Sara Brown,37
319,Tom Doe,28
320,Alex Smith,43
321,Tom Wilson,20
322,Tom Taylor,61
323,Tom Taylor,21
324,Jane Doe,18
325,Sara Smith,55
326,Alex Taylor,21
327,Bob Doe,22
328,Alice Lee,50
329,Sara Brown,22
330,Jane Wilson,29
331,Eve Lee,39
332,Tom Wilson,65
333,Alex Smith,64
334,John Wilson,42
335,Alex Doe,52
336,Bob Smith,20
337,Eve Smith,58
338,Sara Taylor,55
339,John Taylor,62
340,John Wilson,29
341,Bob Taylor,52
342,Tom Taylor,35
343,Sara Taylor,27
344,John Doe,37
345,Bob Doe,31
346,John Doe,62
347,Alice Brown,54
348,Alex Wilson,19
349,Jane Taylor,60
350,Alex Smith,46
351,Alex Brown,42
352,Bob Brown,21
353,Tom Wilson,55
354,Alice Taylor,65
355,Bob Taylor,61
356,Alex Brown,49
357,Alex Doe,34
358,Bob Brown,19
359,Alex Taylor,26
360,Alice Wilson,43
361,Bob Smith,56
362,Bob Taylor,40
363,Sara Wilson,52
364,Eve Brown,19
365,Alice Doe,27
366,Bob Taylor,40
367,Alice Lee,23
368,Eve Smith,42
369,Alex Lee,62
370,John Taylor,49
371,Alice Brown,45
372,Sara Doe,36
373,John Doe,65
374,Jane Taylor,57
375,Jane Wilson,63
376,Tom Lee,66
377,Sara Doe,60
378,Bob Wilson,38
379,John Taylor,59
380,Alex Smith,35
381,Tom Wilson,29
382,Sara Brown,29
383,Sara Lee,67
384,Alice Doe,62
385,Eve Smith,62
386,Jane Wilson,59
387,Bob Doe,43
388,Jane Smith,58
389,Alex Doe,54
390,John Lee,51
391,Bob Taylor,41
392,Sara Doe,57
393,Jane Brown,23
394,Jane Doe,56
395,Alice Wilson,64
396,Alice Taylor,46
397,Alice Brown,22
398,Alice Wilson,46
399,Alex Smith,62
400,John Brown,42
401,Alex Taylor,41
402,Eve Brown,61
403,Sara Doe,19
404,Bob Taylor,62
405,Jane Smith,42
406,Alex Doe,56
407,Eve Smith,51
408,Eve Wilson,64
409,Alice Brown,44
410,Eve Wilson,53
411,Tom Wilson,22
412,Bob Wilson,27
413,Alice Lee,57
414,Eve Wilson,34
415,Alice Taylor,27
416,Alex Wilson,35
417,Sara Wilson,22
418,Sara Brown,23
419,Eve Wilson,54
420,Alice Taylor,27
421,Bob Brown,40
422,Bob Wilson,40
423,Sara Doe,63
424,Sara Wilson,49
425,Tom Smith,65
426,John Taylor,40
427,Eve Brown,54
428,Bob Wilson,46
429,John Doe,40
430,Tom Taylor,20
431,Bob Wilson,66
432,Alex Taylor,35
433,Eve Wilson,67
434,Tom Lee,65
435,Sara Brown,55
436,John Smith,54
437,John Lee,58
438,Alex Lee,21
439,John Doe,54
440,Tom Wilson,38
441,Sara Wilson,37
442,Tom Taylor,24
443,John Wilson,62
444,Jane Doe,29
445,Tom Smith,23
446,Bob Taylor,43
447,Alice Doe,46
448,Tom Smith,32
449,Sara Taylor,55
450,Alice Wilson,40
451,Alex Wilson,33
452,Alice Lee,36
453,Bob Taylor,55
454,Alice Doe,52
455,Sara Lee,50
456,Sara Doe,48
457,Alex Brown,20
458,Eve Brown,49
459,Alice Brown,39
460,Sara Taylor,45
461,Eve Wilson,20
462,Alice Brown,26
463,Jane Wilson,55
464,Eve Taylor,26
465,Bob Wilson,42
466,Alex Brown,62
467,Bob Doe,24
468,John Taylor,34
469,Alice Smith,35
470,Alex Brown,22
471,Eve Brown,52
472,John Smith,19
473,Eve Wilson,52
474,Tom Taylor,50
475,Alice Doe,30
476,Sara Lee,37
477,Alice Taylor,61
478,Tom Wilson,60
479,Eve Wilson,22
480,Alice Taylor,46
481,Jane Brown,63
482,Tom Brown,32
483,Alice Lee,48
484,Sara Wilson,27
485,Bob Brown,19
486,Alice Wilson,39
487,Sara Wilson,32
488,Eve Doe,39
489,Alice Brown,49
490,Eve Lee,67
491,Alex Doe,56
492,Bob Brown,38
493,Eve Smith,39
494,Sara Smith,54
495,Eve Doe,42
496,Sara Brown,40
497,Jane Smith,20
498,Eve Doe,67
499,John Taylor,39
500,Tom Wilson,40
501,Tom Taylor,41
502,Tom Brown,49
503,Eve Taylor,59
504,Alex Doe,66
505,John Doe,23
506,Bob Doe,20
507,Eve Brown,37
508,Alex Lee,44
509,Bob Lee,24
510,Bob Lee,52
511,Alex Brown,40
512,Jane Lee,40
513,Alice Lee,29
514,Jane Lee,20
515,Tom Lee,20
516,Jane Wilson,28
517,Jane Wilson,60
518,Sara Brown,51
519,Bob Lee,53
520,Eve Smith,40
521,Alice Brown,59
522,Bob Brown,31
523,Tom Smith,40
524,Alice Taylor,43
525,Tom Smith,55
526,Alex Brown,44
527,Bob Doe,33
528,Tom Taylor,27
529,Tom Doe,19
530,Tom Wilson,48
531,Sara Wilson,41
532,Eve Brown,27
533,Sara Wilson,27
534,Tom Smith,49
535,Eve Lee,61
536,Alex Smith,58
537,Tom Lee,58
538,Alice Brown,23
539,John Brown,31
540,Bob Smith,47
541,Tom Brown,33
542,Alex Smith,31
543,Jane Taylor,51
544,Jane Lee,42
545,Tom Wilson,59
546,Jane Brown,50
547,Bob Lee,43
548,Alice Lee,28
549,Eve Brown,45
550,Jane Doe,58
551,Alex Taylor,25
552,Jane Brown,47
553,Bob Doe,48
554,Tom Lee,20
555,John Brown,26
556,Sara Lee,42
557,Alice Wilson,32
558,Sara Wilson,33
559,Bob Doe,30
560,Tom Smith,39
561,Alex Brown,66
562,John Doe,22
563,Sara Taylor,53
564,Tom Doe,55
565,John Smith,46
566,Eve Brown,60
567,Alex Smith,52
568,Sara Smith,31
569,Bob Lee,58
570,John Lee,35
571,Sara Smith,21
572,Eve Wilson,65
573,Alex Wilson,52
574,Alice Lee,65
575,John Taylor,57
576,Eve Lee,29
577,Tom Brown,48
578,Tom Smith,24
579,Sara Wilson,34
580,Alex Wilson,60
581,John Doe,27
582,Alex Lee,25
583,Alex Doe,60
584,Jane Taylor,18
585,Bob Smith,56
586,Jane Wilson,45
587,Sara Wilson,51
588,Bob Smith,32
589,Alice Wilson,36
590,Alex Lee,29
591,Jane Taylor,23
592,Sara Wilson,64
593,Tom Lee,67
594,Bob Doe,28
595,Alice Taylor,60
596,Sara Doe,25
597,Sara Doe,22
598,Alex Brown,43
599,Bob Taylor,45
600,Jane Wilson,52
601,Tom Wilson,55
602,Alice Smith,41
603,John Brown,36
604,John Wilson,28
605,Alice Doe,53
606,Jane Brown,48
607,Eve Doe,31
608,Bob Taylor,36
609,Sara Lee,51
610,Bob Brown,53
611,John Lee,65
612,Sara Taylor,38
613,John Taylor,21
614,Tom Doe,58
615,Eve Doe,35
616,Jane Brown,24
617,Sara Lee,33
618,Tom Lee,63
619,Tom Doe,60
620,Sara Lee,63
621,Bob Smith,48
622,Sara Taylor,66
623,Sara Taylor,23
624,Alex Wilson,20
625,John Doe,38
626,Bob Doe,37
627,John Lee,19
628,Alex Doe,45
629,John Lee,49
630,Sara Brown,57
631,Alex Lee,30
632,Alex Taylor,38
633,John Brown,20
634,Eve Brown,40
635,Bob Brown,37
636,Eve Lee,51
637,Tom Doe,57
638,Alex Wilson,46
639,Sara Doe,23
640,Alice Lee,19
641,Alex Lee,42
642,Alice Lee,25
643,Alex Brown,63
644,Jane Brown,59
645,Sara Wilson,67
646,Sara Doe,45
647,Jane Wilson,66
648,Bob Wilson,31
649,Jane Smith,42
650,John Wilson,66
651,Tom Doe,26
652,Alex Smith,39
653,Jane Doe,36
654,Bob Taylor,33
655,John Brown,34
656,Eve Doe,50
657,Bob Taylor,50
658,Tom Wilson,22
659,Tom Wilson,43
660,Alex Smith,67
661,Alice Taylor,64
662,Alex Taylor,43
663,Alex Doe,62
664,Jane Smith,57
665,John Lee,56
666,Eve Lee,19
667,Alex Brown,34
668,Bob Brown,59
669,Tom Wilson,55
670,Tom Taylor,49
671,Bob Lee,38
672,Tom Smith,21
673,Jane Brown,61
674,Eve Doe,65
675,Alex Smith,65
676,Sara Wilson,42
677,John Smith,45
678,Jane Smith,26
679,Sara Doe,62
680,Alex Brown,57
681,Alex Taylor,56
682,Jane Lee,27
683,Bob Wilson,37
684,Jane Wilson,59
685,Alice Taylor,55
686,John Smith,44
687,Jane Smith,29
688,John Smith,33
689,John Wilson,21
690,Sara Doe,28
691,John Brown,65
692,Eve Lee,25
693,Bob Wilson,42
694,Tom Doe,46
695,Eve Doe,39
696,Bob Doe,28
697,Jane Wilson,47
698,Jane Smith,35
699,Tom Wilson,24
700,Alice Smith,32
701,Jane Taylor,63
702,Jane Wilson,51
703,Sara Taylor,54
704,Eve Doe,57
705,John Doe,52
706,Eve Smith,43
707,Jane Brown,34
708,Bob Brown,42
709,Alex Doe,34
710,Alex Wilson,57
711,Bob Doe,59
712,Alice Smith,65
713,John Wilson,39
714,Alice Doe,39
715,Eve Lee,56
716,John Lee,19
717,Eve Taylor,24
718,Alex Wilson,26
719,Alice Brown,63
720,Sara Taylor,19
721,Sara Brown,49
722,John Brown,34
723,Tom Doe,25
724,Alex Lee,61
725,Bob Taylor,41
726,Sara Wilson,36
727,Eve Taylor,55
728,Tom Lee,46
729,Alex Smith,43
730,John Wilson,44
731,Tom Taylor,51
732,John Brown,54
733,Alice Lee,20
734,Alex Doe,31
735,John Taylor,60
736,Alex Lee,50
737,Tom Doe,44
738,Alex Brown,18
739,John Brown,61
740,Jane Brown,51
741,Bob Brown,39
742,Alice Lee,49
743,Bob Wilson,63
744,Sara Smith,22
745,Eve Taylor,43
746,John Doe,27
747,John Wilson,41
748,Alex Brown,37
749,Tom Taylor,47
750,Eve Doe,28
751,John Taylor,60
752,Eve Lee,61
753,Alice Taylor,18
754,Jane Wilson,24
755,Sara Wilson,36
756,Sara Lee,62
757,Bob Taylor,64
758,John Wilson,36
759,Alex Doe,59
760,Alex Wilson,27
761,Alice Wilson,50
762,Sara Lee,67
763,Alice Smith,40
764,Jane Doe,25
765,Alex Lee,32
766,Eve Smith,25
767,Bob Brown,24
768,Eve Doe,25
769,Sara Wilson,24
770,John Lee,53
771,Bob Smith,49
772,Alex Doe,29
773,Tom Lee,44
774,Tom Smith,50
775,Jane Brown,33
776,Jane Brown,47
777,John Brown,23
778,Alex Taylor,62
779,Alex Wilson,31
780,Jane Smith,63
781,Jane Lee,32
782,Jane Wilson,52
783,John Taylor,31
784,Alex Doe,25
785,Alice Taylor,54
786,Eve Brown,67
787,Alice Smith,28
788,Alex Smith,57
789,Jane Doe,36
790,Sara Smith,30
791,Sara Taylor,31
792,Sara Lee,48
793,Tom Lee,67
794,Eve Taylor,49
795,Tom Smith,44
796,John Wilson,51
797,Eve Smith,52
798,Jane Lee,35
799,Eve Doe,52
800,Bob Lee,22
801,Alex Doe,44
802,Sara Doe,52
803,John Lee,39
804,Alex Smith,66
805,Jane Wilson,40
806,Alice Brown,56
807,Alice Smith,21
808,Jane Smith,27
809,Alice Lee,51
810,Eve Doe,22
811,Alex Brown,56
812,Alice Smith,65
813,Jane Doe,62
814,John Wilson,42
815,Tom Doe,49
816,Eve Doe,38
817,Sara Brown,61
818,Bob Taylor,18
819,Eve Wilson,64
820,Tom Doe,46
821,Jane Lee,39
822,John Doe,38
823,Sara Doe,54
824,Alice Lee,28
825,Sara Doe,67
826,Jane Doe,29
827,Sara Brown,21
828,Sara Doe,65
829,John Lee,29
830,Eve Smith,24
831,Eve Lee,60
832,Tom Lee,51
833,Bob Brown,26
834,Sara Doe,52
835,Sara Lee,34
836,Bob Smith,61
837,John Brown,26
838,Sara Taylor,19
839,Jane Doe,58
840,Bob Lee,66
841,Eve Smith,39
842,Alice Smith,40
843,Alice Wilson,49
844,Alex Doe,20
845,John Doe,32
846,Jane Taylor,27
847,Bob Doe,28
848,Eve Smith,51
849,Eve Wilson,46
850,Tom Wilson,66
851,Alice Taylor,44
852,Bob Lee,34
853,Sara Taylor,19
854,Tom Wilson,30
855,John Lee,23
856,Sara Smith,53
857,Eve Wilson,26
858,Sara Smith,26
859,Sara Wilson,19
860,Alex Brown,35
861,Tom Wilson,47
862,Alex Brown,29
863,Alice Lee,48
864,Sara Smith,27
865,Tom Brown,60
866,Jane Wilson,22
867,Tom Brown,47
868,Jane Smith,62
869,Alex Lee,47
870,Bob Lee,19
871,Eve Taylor,35
872,Eve Brown,58
873,Sara Taylor,40
874,Bob Lee,63
875,Alex Taylor,38
876,Alice Wilson,47
877,Jane Taylor,20
878,John Doe,29
879,Alice Lee,56
880,Bob Brown,37
881,Eve Brown,19
882,Alex Lee,34
883,Tom Brown,61
884,Bob Wilson,48
885,Bob Taylor,37
886,Sara Lee,34
887,Tom Lee,32
888,Jane Brown,24
889,Bob Smith,46
890,Sara Doe,57
891,Tom Doe,51
892,Alex Smith,32
893,Tom Brown,50
894,Tom Smith,28
895,Alex Doe,28
896,Alice Wilson,43
897,John Doe,25
898,Eve Brown,51
899,Tom Lee,51
900,Sara Brown,47
901,Tom Doe,36
902,Bob Taylor,49
903,Eve Brown,30
904,Sara Taylor,40
905,Alex Smith,25
906,Tom Wilson,64
907,Alice Doe,54
908,Eve Doe,64
909,Sara Doe,63
910,Jane Doe,59
911,Alex Wilson,51
912,Tom Doe,35
913,Bob Taylor,64
914,Eve Smith,22
915,Alex Lee,22
916,Tom Lee,53
917,John Brown,62
918,Eve Brown,49
919,Sara Wilson,54
920,Alice Brown,26
921,Alice Wilson,37
922,John Taylor,56
923,Sara Smith,63
924,Jane Smith,46
925,Bob Wilson,31
926,Sara Wilson,26
927,Alice Taylor,52
928,John Wilson,64
929,Eve Smith,34
930,John Lee,58
931,Eve Wilson,19
932,Jane Brown,27
933,Alice Lee,48
934,Tom Wilson,59
935,John Smith,53
936,Bob Smith,27
937,Jane Wilson,60
938,Tom Doe,32
939,Tom Smith,47
940,John Taylor,61
941,Alex Doe,58
942,Eve Wilson,30
943,Alice Lee,25
944,John Smith,39
945,Alice Smith,51
946,Eve Doe,63
947,Sara Doe,54
948,Sara Smith,57
949,Alex Lee,38
950,Eve Smith,55
951,John Doe,62
952,Eve Lee,49
953,John Brown,26
954,Alex Brown,40
955,Eve Doe,57
956,Sara Doe,23
957,Eve Doe,27
958,Alex Brown,27
959,Tom Smith,64
960,Sara Taylor,31
961,Alex Lee,29
962,Bob Smith,66
963,Eve Wilson,33
964,Eve Taylor,42
965,John Brown,18
966,John Taylor,59
967,Sara Wilson,60
968,Jane Smith,62
969,Bob Lee,55
970,John Smith,31
971,Eve Taylor,58
972,John Taylor,48
973,Alice Smith,33
974,Alex Smith,61
975,Jane Doe,31
976,John Doe,47
977,Bob Smith,57
978,Jane Smith,22
979,Bob Taylor,23
980,Alice Doe,66
981,Sara Lee,60
982,Jane Lee,60
983,Sara Wilson,18
984,Tom Taylor,40
985,Jane Wilson,34
986,John Lee,60
987,Jane Taylor,42
988,Jane Lee,66
989,Sara Taylor,66
990,Bob Taylor,40
991,Eve Brown,24
992,Jane Wilson,64
993,Jane Brown,50
994,Jane Smith,41
995,Sara Wilson,62
996,Tom Smith,64
997,Alice Doe,31
998,Alice Smith,33
999,Alex Doe,45
1000,Jane Wilson,54
1001,Bob Doe,51
1002,Bob Doe,60
1003,Bob Taylor,54
1004,Eve Brown,43
1005,Bob Wilson,36
1006,Sara Wilson,59
1007,Tom Brown,54
1008,Eve Wilson,32
1009,Jane Lee,45
1010,John Doe,54
1011,Tom Doe,55
1012,Alex Taylor,22
1013,Eve Wilson,65
1014,Jane Doe,20
1015,Alex Doe,20
1016,Bob Brown,50
1017,John Taylor,39
1018,Sara Doe,56
1019,Alex Lee,54
1020,John Taylor,45
1021,Bob Brown,29
1022,John Brown,33
1023,Alice Wilson,26
1024,Tom Brown,31
1025,Alice Lee,30
1026,Bob Lee,32
1027,John Doe,56
1028,Tom Wilson,24
1029,Alice Doe,43
1030,Tom Smith,63
1031,Alex Lee,50
1032,Alex Taylor,45
1033,Alice Brown,44
1034,Eve Wilson,34
1035,Alex Smith,64
1036,Alice Smith,55
1037,Bob Doe,32
1038,Jane Doe,64
1039,Bob Taylor,56
1040,Alex Lee,37
1041,Eve Brown,35
1042,Alex Wilson,40
1043,Sara Smith,43
1044,Sara Doe,46
1045,Sara Taylor,27
1046,John Lee,19
1047,Sara Taylor,20
1048,Alice Wilson,18
1049,Bob Smith,28
1050,Alex Taylor,54
1051,Jane Lee,48
1052,Alice Wilson,66
1053,Alex Lee,58
1054,Sara Lee,27
1055,Eve Lee,38
1056,Tom Smith,25
1057,Tom Lee,32
1058,Bob Wilson,48
1059,Sara Smith,42
1060,Sara Smith,58
1061,Alex Doe,40
1062,Alex Doe,65
1063,Eve Taylor,59
1064,Alice Lee,42
1065,Bob Smith,41
1066,Tom Smith,48
1067,Alex Wilson,29
1068,Alex Brown,27
1069,Tom Wilson,48
1070,Bob Doe,53
1071,Alex Wilson,36
1072,Alice Smith,43
1073,Eve Brown,34
1074,Alex Taylor,18
1075,Eve Doe,34
1076,Alice Smith,62
1077,Sara Smith,28
1078,Bob Brown,42
1079,Jane Smith,32
1080,Eve Brown,52
1081,Eve Lee,21
1082,John Wilson,55
1083,Eve Smith,52
1084,Alice Brown,57
1085,Eve Lee,32
1086,Alice Taylor,29
1087,John Lee,63
1088,Alex Wilson,49
1089,Alex Doe,30
1090,Alex Wilson,20
1091,Sara Wilson,54
1092,Tom Smith,50
1093,John Taylor,58
1094,John Doe,30
1095,Tom Smith,56
1096,Jane Lee,40
1097,Bob Doe,57
1098,Tom Lee,27
1099,Sara Lee,56
1100,Alice Lee,67
1101,Eve Lee,48
1102,Alice Taylor,40
1103,Jane Smith,65
1104,John Taylor,47
1105,Alice Brown,32
1106,Alex Taylor,61
1107,Alex Brown,30
1108,Alice Smith,24
1109,Alice Smith,29
1110,John Smith,53
1111,Tom Brown,33
1112,Sara Doe,36
1113,Alice Smith,66
1114,John Smith,23
1115,Bob Doe,67
1116,Alice Doe,63
1117,Eve Smith,34
1118,Alex Smith,19
1119,Tom Lee,53
1120,Bob Lee,60
1121,Tom Taylor,24
1122,Eve Lee,55
1123,Tom Wilson,49
1124,Tom Brown,51
1125,Eve Doe,60
1126,Sara Lee,42
1127,John Lee,63
1128,Alex Lee,19
1129,Sara Wilson,34
1130,Bob Smith,54
1131,Sara Brown,36
1132,Sara Taylor,37
1133,John Wilson,63
1134,Alex Brown,33
1135,Jane Doe,43
1136,John Doe,33
1137,Sara Taylor,19
1138,Sara Wilson,54
1139,Sara Smith,41
1140,Eve Taylor,31
1141,Alex Brown,23
1142,Jane Smith,48
1143,Sara Brown,34
1144,Tom Taylor,44
1145,Alex Lee,46
1146,Eve Wilson,61
1147,Sara Lee,41
1148,Alice Wilson,54
1149,Eve Doe,46
1150,Sara Doe,49
1151,Tom Taylor,25
1152,Alex Lee,23
1153,Sara Doe,56
1154,Bob Taylor,25
1155,Eve Lee,23
1156,John Smith,67
1157,Alex Doe,43
1158,Eve Wilson,29
1159,Tom Brown,43
1160,Jane Smith,60
1161,Alex Doe,52
1162,Bob Doe,30
1163,John Brown,57
1164,Eve Smith,41
1165,Sara Lee,57
1166,Bob Lee,50
1167,Bob Lee,49
1168,Tom Doe,32
1169,Tom Lee,44
1170,Sara Wilson,36
1171,John Lee,32
1172,John Taylor,35
1173,Bob Wilson,66
1174,Bob Lee,53
1175,John Smith,61
1176,John Brown,33
1177,Bob Brown,27
1178,Alex Smith,44
1179,Eve Wilson,19
1180,Tom Lee,42
1181,Bob Smith,30
1182,Tom Lee,30
1183,Jane Lee,38
1184,Jane Taylor,18
1185,Tom Smith,63
1186,Jane Doe,49
1187,Jane Taylor,56
1188,Alex Smith,44
1189,Alice Brown,56
1190,Bob Taylor,45
1191,Eve Doe,35
1192,Eve Lee,54
1193,Eve Wilson,29
1194,Jane Brown,33
1195,Jane Doe,41
1196,Bob Taylor,51
1197,Jane Lee,53
1198,Bob Lee,23
1199,John Doe,47
1200,Jane Lee,43
1201,Bob Brown,46
1202,Tom Lee,20
1203,Bob Taylor,20
1204,Tom Smith,48
1205,Alex Brown,63
1206,Sara Doe,52
1207,Eve Wilson,47
1208,Tom Taylor,31
1209,Alice Doe,52
1210,John Brown,32
1211,Bob Doe,66
1212,Alice Doe,18
1213,Tom Smith,25
1214,Bob Taylor,60
1215,Jane Brown,64
1216,Alice Lee,64
1217,Jane Doe,60
1218,Eve Brown,60
1219,John Lee,53
1220,Jane Smith,22
1221,Sara Smith,25
1222,Jane Wilson,58
1223,Sara Smith,67
1224,Bob Brown,21
1225,Jane Lee,50
1226,Alex Brown,20
1227,Jane Brown,33
1228,Alice Taylor,54
1229,Tom Lee,24
1230,Tom Wilson,35
1231,Eve Brown,65
1232,John Brown,38
1233,Alice Taylor,65
1234,Tom Taylor,44
1235,John Brown,46
1236,Sara Doe,35
1237,Eve Taylor,29
1238,Tom Taylor,39
